Food Code,Food Name,Description,Group,Main data references,Water (g),Protein (g),Fat (g),Carbohydrate (g),Energy (kcal),Energy (kJ),Starch (g),Total sugars (g),Glucose (g),Galactose (g),Fructose (g),Sucrose (g),Maltose (g),Lactose (g),Alcohol (g),NSP (g),AOAC fibre (g),Satd FA /100g fd (g),Mono FA /100g food (g),Poly FA /100g food (g),Trans FAs /100g food (g),Cholesterol (mg),Sodium (mg),Potassium (mg),Calcium (mg),Magnesium (mg),Phosphorus (mg),Iron (mg),Copper (mg),Zinc (mg),Chloride (mg),Manganese (mg),Selenium (µg),Iodine (µg),Retinol (µg),Carotene (µg),Vitamin D (µg),Vitamin E (mg),Vitamin K1 (µg),Thiamin (mg),Riboflavin (mg),Niacin (mg),Tryptophan/60 (mg),Vitamin B6 (mg),Vitamin B12 (µg),Folate (µg),Pantothenate (mg),Biotin (µg),Vitamin C (mg)
11-974,"Bread, pitta, white","10 samples, 8 brands",AF,"LGC, Nutrient analysis of bread and morning goods, 1999; and industry data, 2013. Additional vitamin data from 11-090 (CCP, 1988)",31.4,9.1,1.3,55.1,255,1084,52.2,3.0,0.5,0.0,0.5,0.01,2.0,0.0,0.0,2.4,2.3,0.20,0.10,0.50,0.01,0.0,400,178,138,22,99,1.90,0.12,0.8,640,0.48,2,NULL,0,0,0.0,NULL,NULL,0.34,0.08,2.2,2.2,NULL,0.0,20,NULL,NULL,0
11-947,"Bread, seeded",Label data and calculations,AF,"Industry data, 2013; and calculated",33.0,9.9,7.4,43.8,270,1143,40.0,3.8,NULL,NULL,NULL,NULL,NULL,0.0,0.0,NULL,6.2,1.00,NULL,NULL,0.01,0.0,360,226,150,80,180,2.30,0.47,1.5,554,0.76,13,NULL,0,NULL,0.0,NULL,NULL,NULL,NULL,NULL,2.5,NULL,NULL,NULL,NULL,NULL,0
11-1117,"Bread, soda, made with white flour, homemade",Recipe,AF,Updated 2014,34.3,7.6,1.6,57.3,261,1110,55.0,2.3,0.01,NULL,0.01,0.3,0.1,1.9,0.0,2.3,2.7,0.73,0.32,0.16,0.03,2.3,150,282,114,20,116,1.34,0.10,0.6,132,0.48,2,12,7,4,0.01,0.42,NULL,0.15,0.11,1.2,1.6,0.11,0.3,7,0.43,2.4,1
11-975,"Bread, wheatgerm","7 samples, 4 brands, pre-packed, sliced",AF,"LGC, Nutrient analysis of bread and morning goods, 1999; and industry data, 2013. Iodine and Sulphur from 11-098 (1988)",39.7,11.1,3.1,39.5,220,935,35.8,3.8,0.2,NULL,0.6,0.01,2.9,0.0,0.0,4.0,5.7,0.72,0.69,1.06,0.03,0.0,390,269,212,64,219,2.90,0.26,2.3,560,2.05,12,NULL,0,0,0.0,0.48,NULL,0.34,0.11,3.6,2.5,0.09,0.0,38,0.50,1.5,0
11-1145,"Bread, white, average",Average of 5 main types of white bread,AF,Updated 2014,36.1,8.7,2.1,48.7,236,1004,45.8,3.0,0.01,NULL,0.2,0.01,2.8,0.0,NULL,2.1,2.9,NULL,NULL,NULL,0.02,0.0,400,134,155,22,96,1.50,0.14,0.7,635,0.49,7,NULL,0,0,0.0,0.08,NULL,0.22,0.07,1.6,2.0,0.07,0.0,29,NULL,NULL,0
11-923,"Bread, white, crusty bloomer, unsliced, fresh, large","10 samples, 8 products",AF,"LGC, Nutrient analysis of bread and morning goods, 1999",36.0,9.2,1.6,52.3,247,1052,49.5,2.8,0.01,NULL,0.2,0.01,2.6,0.01,0.0,2.2,2.8,0.39,0.34,0.50,0.04,0.0,400,135,172,19,89,1.30,0.12,0.8,550,0.46,7,4,0,0,0.0,0.22,NULL,0.21,0.06,1.6,2.0,0.06,0.0,24,0.38,2.8,0
11-976,"Bread, white, Danish style","8 samples, 4 brands, including Nimble and Weight Watchers",AF,"LGC, Nutrient analysis of bread and morning goods, 1999; Cereals and Cereal Products Supplement (1988); and industry data, 2013. Fats estimated from white bread.",37.5,9.1,2.7,44.5,228,967,41.6,3.0,0.1,NULL,0.2,0.01,2.7,0.0,0.0,2.4,3.1,0.50,0.50,0.90,0.02,0.0,400,110,130,21,93,1.70,0.14,0.6,710,0.42,11,NULL,0,0,0.0,0.01,NULL,0.25,0.07,2.0,1.7,0.07,0.0,44,NULL,NULL,0
11-977,"Bread, white, farmhouse or split tin",20 samples,AF,"LGC, Nutrient analysis of bread and morning goods, 1999; and industry data, 2013",36.8,9.0,2.0,49.9,241,1025,47.0,2.9,0.01,NULL,0.2,0.01,2.7,0.0,0.0,2.1,2.9,0.49,0.43,0.63,0.05,0.0,400,135,172,19,89,1.30,0.12,0.8,545,0.46,5,4,0,0,0.0,0.22,NULL,0.19,0.06,1.4,2.0,0.06,0.0,23,0.38,2.8,0
11-978,"Bread, white, French stick","18 samples, baguette and flute, thick and thin",AF,"LGC, Nutrient analysis of bread and morning goods, 1999; and industry data, 2013. Average of flute and baguette",29.0,9.0,1.9,56.1,263,1121,53.3,2.8,0.01,NULL,0.2,0.01,2.7,0.0,0.0,2.4,3.3,0.34,0.28,0.68,0.01,0.0,400,152,121,22,100,1.40,0.09,0.7,630,0.57,5,10,0,0,0.0,0.01,NULL,0.21,0.06,1.7,2.2,0.07,0.0,29,0.39,0.5,0
11-979,"Bread, white, premium","15 samples, 13 brands",AF,"LGC, Nutrient analysis of bread and morning goods, 1999; and industry data, 2013",38.4,8.3,2.3,47.0,230,978,44.4,2.7,0.01,NULL,0.2,0.01,2.5,0.0,0.0,1.9,2.8,NULL,NULL,NULL,0.01,0.0,400,138,177,25,101,1.50,0.19,0.8,570,0.49,10,NULL,0,0,0.0,0.17,NULL,0.23,0.07,1.5,2.1,0.07,0.0,23,0.47,1.0,0
11-980,"Bread, white, sliced",15 samples,AF,"LGC, Nutrient analysis of bread and morning goods, 1999; and industry data, 2013. Vitamin K1 Bolton-Smith et al, Br J Nutr, 83, 2000",38.6,7.9,1.6,46.1,219,931,42.7,3.4,0.01,NULL,0.2,0.01,3.2,0.0,0.0,1.9,2.5,0.29,0.32,0.52,0.01,0.0,400,137,177,23,95,1.60,0.14,0.8,720,0.49,6,4,0,0,0.0,0.01,0.42,0.24,0.08,1.6,2.0,0.08,0.0,25,0.42,0.6,0
11-1137,"Bread, white, sliced, fried in rapeseed oil",Calculated on white sliced bread using analysed fat and water changes,AF,Updated 2014,7.4,8.1,32.2,46.8,498,2078,43.3,3.5,0.01,NULL,0.2,0.01,3.2,0.0,NULL,1.9,2.5,2.30,18.40,9.50,0.01,0.0,406,139,180,23,96,1.60,0.14,0.8,731,0.50,6,4,0,0.01,0.0,6.80,NULL,0.18,0.07,1.5,2.0,0.06,0.0,13,0.32,0.6,0
11-1001,"Bread, white, toasted",15 samples. Calculated using weight loss of 18%,AF,"White bread sliced from LGC, Nutrient analysis of bread and morning goods, 1999; and industry data, 2013",25.1,9.7,2.0,56.2,267,1137,52.1,4.1,0.01,NULL,0.2,0.01,3.9,0.0,0.0,2.3,3.0,0.35,0.39,0.63,0.01,0.0,490,167,216,28,116,1.95,0.17,1.0,880,0.60,5,5,0,0,0.0,0.01,NULL,0.25,0.10,2.0,2.4,0.10,0.0,30,0.51,0.7,0
11-1003,"Bread, white, 'with added fibre'","Including Hovis Best of Both, Kingsmill 50/50 and Warburtons Half & Half Toastie",AF,"Industry data, 2013; and calculated",39.2,8.7,2.2,45.1,224,951,41.6,3.5,0.1,NULL,0.3,0.01,3.0,0.0,0.0,3.5,4.8,0.42,0.56,0.88,0.01,0.0,370,195,NULL,45,149,2.00,0.19,1.2,650,1.12,7,0.01,0,0,0.0,0.14,NULL,0.25,0.07,2.7,2.2,0.10,0.0,33,0.53,3.5,0
11-1004,"Bread, white, 'with added fibre', toasted",Calculated using weight loss of 16%,AF,"Industry data, 2013; and calculated",27.6,10.4,2.6,53.7,266,1132,49.5,4.2,0.1,NULL,0.4,0.01,3.6,0.0,0.0,4.2,5.7,0.50,0.67,1.05,0.01,0.0,440,232,NULL,54,177,2.38,0.23,1.4,770,1.33,8,0.01,0,0,0.0,0.17,NULL,0.25,0.07,3.1,2.6,0.09,0.0,20,0.47,4.2,0
11-981,"Bread, wholemeal, average","21 samples, sliced and unsliced",AF,"LGC, Nutrient analysis of bread and morning goods, 1999; and industry data, 2013. Vitamin K1 value from Bolton-Smith et al, Br. J. Nutr. 83, 2000",41.2,9.4,2.5,42.0,217,922,39.3,2.8,0.2,NULL,0.4,0.01,2.2,0.0,0.0,5.0,7.0,0.46,0.59,0.82,0.04,0.0,400,253,106,66,202,2.40,0.23,1.6,660,1.75,7,NULL,0,0,0.0,0.28,2.00,0.25,0.05,3.8,2.3,0.11,0.0,40,0.63,6.3,0
11-982,"Bread, wholemeal, toasted",Calculated using weight loss of 14.6%,AF,"LGC, Nutrient analysis of bread and morning goods, 1999; and industry data, 2013",31.1,11.2,2.9,49.2,255,1084,46.0,3.2,0.2,NULL,0.5,0.01,2.5,0.0,0.0,5.9,8.2,0.54,0.69,0.96,0.05,0.0,470,296,124,77,237,2.81,0.27,1.9,770,2.05,11,NULL,0,0,0.0,0.33,NULL,0.25,0.06,4.5,2.7,0.13,0.0,46,0.74,7.4,0
13-168,"Breadfruit, boiled in unsalted water",Literature sources,DG,"Vegetables, Herbs and Spices Supplement, 1991",64.7,1.6,0.4,29.0,119,506,27.5,1.5,NULL,0.0,NULL,NULL,0.0,0.0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0.0,1,350,18,23,28,0.90,0.05,0.1,NULL,0.10,NULL,NULL,0,30,0.0,NULL,NULL,0.08,0.05,0.7,NULL,NULL,0.0,NULL,0.40,NULL,20
13-167,"Breadfruit, raw",Literature sources,DG,"Vegetables, Herbs and Spices Supplement, 1991",71.9,1.3,0.3,23.1,95,403,21.9,1.2,NULL,0.0,NULL,NULL,0.0,0.0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0.0,1,480,19,24,28,1.00,0.08,0.1,NULL,0.10,NULL,NULL,0,24,0.0,NULL,NULL,0.10,0.05,0.8,NULL,NULL,0.0,NULL,0.46,NULL,29
14-895,"Breadnut seeds, dried",Literature sources,G,"McCarthy and Matthews (1984) Composition of foods: nut and seed products, raw, processed and prepared, Agriculture Handbook No. 8-12. USDA SR27 (2014).",6.5,8.6,1.7,73.8,367,1536,NULL,NULL,NULL,NULL,NULL,NULL,0.0,0.0,NULL,NULL,14.9,0.50,0.20,0.90,0.00,0.0,53,2011,94,115,180,4.60,2.46,NULL,NULL,0.30,2,NULL,0,130,0.0,NULL,NULL,0.03,0.14,2.1,2.7,0.69,0.0,113,1.88,NULL,47
11-826,"Breadsticks, plain","10 samples, 5 products",AM,"DH, Nutrient analysis of biscuits, buns, cakes and pastries, 2011",4.2,10.9,8.1,72.9,389,1650,69.6,3.3,0.01,0.01,0.01,0.01,3.3,0.01,0.0,2.1,3.7,6.01,0.80,0.74,0.01,6.2,817,202,31,30,120,1.96,0.21,0.9,1140,0.57,6,0.01,0,0.01,0.0,0.18,NULL,0.09,0.02,1.5,2.1,0.10,0.01,21,0.60,2.0,0.01
11-763,"Breakfast cereal, bran flakes, fortified","15 samples, 8 products, including Kellogg's and own brands",AI,"LGC, Nutrient survey of breakfast cereals, 2004; and industry data, 2013",4.0,9.6,2.2,73.3,333,1417,52.3,21.0,2.0,NULL,2.6,15.9,0.5,0.0,0.0,12.8,13.4,0.31,0.22,1.06,0.01,0.0,360,480,44,121,357,13.50,0.42,2.1,550,2.48,6,0.01,0,0,4.6,8.30,NULL,1.10,1.40,15.6,2.4,1.40,2.3,367,NULL,7.0,0
11-767,"Breakfast cereal, bran type cereal, fortified","15 samples, 9 products, including All-Bran and own brand",AI,"LGC, Nutrient survey of breakfast cereals, 2004",4.0,12.4,3.4,49.7,267,1132,29.7,20.0,0.7,NULL,0.7,17.5,1.1,0.0,0.0,23.0,24.6,0.53,0.45,1.83,0.01,0.1,360,757,329,189,639,10.70,0.82,5.1,550,5.76,7,3,0,54,3.9,NULL,NULL,1.00,1.20,13.4,3.1,1.30,1.7,200,NULL,NULL,NULL
11-746,"Breakfast cereal, cornflakes, crunchy / honey nut coated, fortified","10 samples, 7 products, including Crunchy Nut Corn Flakes and own label",AI,Nutrient survey of breakfast cereals 2004. Updated using 2013 manufacturers' label data,2.9,5.3,4.2,86.6,384,1631,49.2,37.4,2.7,NULL,1.6,33.1,0.01,0.0,0.0,1.2,3.8,0.73,2.30,1.01,0.01,0.0,350,123,15,24,57,12.00,0.12,0.3,560,0.20,5,0.01,0,125,NULL,0.44,NULL,1.10,1.40,15.5,0.6,1.50,2.0,396,NULL,NULL,0
11-742,"Breakfast cereal, cornflakes, fortified","15 samples, 9 products, including Kellogg's and other / own brands",AI,"LGC, Nutrient survey of breakfast cereals, 2004; and industry data, 2013",3.4,7.1,0.8,90.9,376,1605,83.6,7.3,1.7,NULL,1.5,4.1,0.01,0.0,0.0,1.8,2.6,0.14,0.13,0.27,0.01,0.0,450,88,3,12,46,11.80,0.01,0.2,690,0.07,9,0.01,0,125,4.7,0.14,0.06,1.10,1.40,15.8,0.6,1.50,1.9,NULL,NULL,2.0,0
11-749,"Breakfast cereal, cornflakes, frosted, fortified","10 samples, 8 products, including Frosties and own brand",AI,"LGC, Nutrient survey of breakfast cereals, 2004; and industry data, 2013",3.1,4.7,0.5,87.0,350,1490,48.7,38.3,1.1,NULL,1.0,36.2,0.01,0.0,0.0,NULL,2.0,0.09,0.08,0.17,0.01,0.0,300,59,456,9,33,12.00,0.01,0.1,470,0.07,5,9,0,125,4.7,0.14,NULL,1.20,1.40,16.0,0.6,1.60,1.7,NULL,NULL,2.0,0
11-745,"Breakfast cereal, cornflakes, unfortified","7 samples, 4 products, organic",AI,"LGC, Nutrient survey of breakfast cereals, 2004; and industry data, 2013",3.4,7.1,0.8,91.4,378,1613,88.4,3.0,0.7,NULL,0.6,1.7,0.01,0.0,0.0,1.8,2.6,0.14,0.13,0.27,0.01,0.0,410,93,7,11,53,0.40,0.01,0.2,620,0.10,9,0.01,0,125,0.0,0.14,0.06,0.01,0.08,0.8,0.6,0.13,0.01,7,0.20,2.0,0
11-938,"Breakfast cereal, crunchy clusters type, without nuts, unfortified","7 samples, 5 brands, including Jordans Country Crisp, Quaker Oat granola and own brand",AI,"DH, Nutrient analysis of a range of processed foods with particular reference to trans fatty acids, 2013",3.0,7.2,11.6,71.0,399,1687,45.7,25.3,3.6,NULL,3.8,16.6,1.3,0.0,0.0,4.3,7.2,4.15,4.47,2.33,0.01,NULL,41,310,40,72,232,2.68,0.30,1.6,100,2.11,6,2,0,0.01,0.0,1.38,NULL,1.02,1.06,4.0,2.8,0.17,0.0,90,0.32,8.9,0.01
11-939,"Breakfast cereal, crunchy/crispy muesli type cereal, with nuts, unfortified","7 samples, 5 brands, including Jordans's Country Crisp, Kellogg's Crunchy Nut Clusters and own labels",AI,"DH, Nutrient analysis of a range of processed foods with particular reference to trans fatty acids, 2013",3.3,8.4,20.5,61.9,450,1892,38.7,23.1,1.4,0.01,1.6,20.2,0.01,0.0,0.0,4.4,7.9,4.61,10.63,4.22,0.01,NULL,138,290,46,83,245,NULL,0.34,1.8,240,2.26,19,3,0,0.01,0.0,3.26,NULL,0.16,0.07,1.0,2.0,0.27,0.0,21,0.80,9.5,0.01
11-779,"Breakfast cereal, fruit and fibre type, fortified","10 samples, 7 products, including Kellogg's Fruit 'n Fibre and own brand",AI,"LGC, Nutrient survey of breakfast cereals, 2004; and industry data, 2013",5.7,8.0,5.8,70.3,348,1475,44.1,26.2,8.4,NULL,9.4,8.4,0.01,0.0,0.0,8.6,8.6,2.65,0.88,0.64,0.01,0.1,350,444,47,71,209,10.90,0.40,1.3,490,1.66,4,2,0,0.01,NULL,1.36,NULL,1.00,1.20,13.2,1.7,1.30,NULL,210,NULL,3.0,0.01
11-755,"Breakfast cereal, honey loops and hoops, including Honey and Nut Cheerios, fortified","8 samples, 5 products, including Honey Loops and own brands. Based on Honey Nut Cheerios and products containing nuts",AI,"LGC, Nutrient survey of breakfast cereals, 2004; and industry data, 2013",3.6,6.6,3.1,78.7,349,1486,44.0,34.7,1.4,NULL,1.6,31.0,0.7,0.0,0.0,4.4,4.3,0.67,0.99,1.24,0.01,0.0,280,219,265,54,240,9.40,0.22,1.3,310,1.76,2,0.01,0,NULL,4.5,NULL,NULL,1.00,1.20,14.0,NULL,1.20,2.1,170,5.00,NULL,67
11-792,"Breakfast cereal, instant hot oat, plain, raw, fortified","10 samples, 7 products, including Ready Brek and own brands",AI,"LGC, Nutrient survey of breakfast cereals, 2004; and industry data, 2013",6.7,11.0,7.3,64.6,352,1491,64.1,0.5,0.01,NULL,0.01,0.2,0.3,0.0,0.0,8.3,8.5,1.20,2.90,2.80,0.01,0.2,5,343,1336,104,365,11.90,0.26,2.0,81,3.68,5,5,0,0,4.3,0.31,NULL,0.90,1.20,13.6,2.7,1.20,2.1,170,0.75,13.0,0.01
11-760,"Breakfast cereal, malted flake, fortified","9 samples, 6 products, including Special K and own brand",AI,"LGC, Nutrient survey of breakfast cereals, 2004; and industry data, 2013",4.1,11.8,1.4,83.4,373,1587,66.2,17.2,0.3,NULL,0.5,14.9,0.5,1.0,0.0,2.7,3.0,0.27,0.24,0.64,0.01,0.1,380,216,66,46,174,NULL,0.16,1.6,600,1.43,8,14,0,0,8.3,0.31,NULL,1.60,2.10,23.6,2.5,2.10,3.4,300,NULL,2.0,134
11-761,"Breakfast cereal, malted wheat, fortified","8 samples, 5 products, including Shreddies and own brand",AI,"LGC, Nutrient survey of breakfast cereals, 2004; and industry data, 2013",4.3,8.7,2.3,75.7,339,1444,55.4,20.3,0.3,NULL,0.4,18.9,0.7,0.0,0.0,8.3,8.6,0.32,0.50,0.79,0.01,0.1,250,348,36,70,229,10.60,0.28,1.5,400,1.70,4,3,0,0,0.4,0.85,NULL,0.80,1.10,12.1,2.2,1.10,1.9,150,4.50,NULL,0
11-1019,"Breakfast cereal, multigrain hoops, fortified",Including Cheerios and own brands,AI,"Industry data, 1999 and 2013",NULL,7.9,3.8,80.7,368,1566,58.3,22.4,NULL,NULL,NULL,NULL,NULL,0.0,0.0,NULL,5.7,0.70,NULL,NULL,0.01,0.0,330,NULL,460,NULL,NULL,14.70,NULL,NULL,NULL,NULL,NULL,NULL,0,NULL,NULL,NULL,NULL,1.24,1.10,14.0,NULL,1.20,1.9,200,4.40,NULL,71
11-795,"Breakfast cereal, Oat, instant, flavoured, unfortified, made up with semi-skimmed milk","Quaker Oat So Simple; 6 samples, 4 products, including golden syrup, berry and baked apple flavour. 36g sachet made up with 180g milk",AI,"LGC, Nutrient survey of breakfast cereals, 2004; and industry data, 2013",75.4,4.4,2.4,15.6,98,413,7.8,7.8,0.01,NULL,0.01,4.1,0.01,3.7,0.0,0.7,1.0,1.10,0.74,0.39,0.06,2.6,70,195,115,24,132,0.47,0.01,0.6,NULL,0.44,2,23,16,0.01,0.01,0.14,NULL,0.01,0.14,0.2,1.2,0.06,0.01,10,0.50,2.0,0.01
11-793,"Breakfast cereal, oat, instant, plain, fortified, cooked, made up with semi-skimmed milk","10 samples, 7 products, including Ready Brek and own brands. 40g oat cereal made up with 200g milk",AI,"LGC, Nutrient survey of breakfast cereals, 2004",77.5,4.9,2.5,14.2,95,403,10.0,4.2,0.01,NULL,0.01,0.01,0.01,4.2,0.0,2.0,2.0,1.08,0.81,0.41,0.05,2.6,40,199,323,28,145,2.00,0.01,0.7,108,0.61,3,30,16,8,0.7,0.14,NULL,0.18,0.27,2.4,1.0,0.34,1.1,36,0.69,4.0,0.01
11-757,"Breakfast cereal, puffed wheat, honey coated, fortified","16 samples, 8 products, including Sugar Puffs and own brand",AI,"LGC, Nutrient survey of breakfast cereals, 2004; and industry data, 2013",2.7,4.7,1.2,86.8,355,1513,NULL,36.8,NULL,NULL,NULL,NULL,NULL,0.0,0.0,2.7,3.1,0.16,0.25,0.47,0.01,0.0,20,188,16,49,148,8.00,0.14,1.1,83,1.10,18,0.01,0,0,0.0,0.57,NULL,1.00,1.00,10.0,1.0,0.36,0.0,13,1.00,5.0,0
11-756,"Breakfast cereal, puffed wheat, unfortified","10 samples, 3 products, including Quaker Puffed Wheat and own brands",AI,"LGC, Nutrient survey of breakfast cereals, 2004",3.5,13.2,2.0,72.0,341,1450,71.8,0.2,0.01,NULL,0.2,0.01,0.01,0.0,NULL,5.8,7.8,0.34,0.31,1.09,0.01,0.0,2,410,27,120,356,2.54,0.36,2.7,76,2.34,53,0.01,0,0,0.0,0.99,NULL,0.01,0.03,8.6,2.2,0.11,0.0,13,0.40,8.0,0
11-753,"Breakfast cereal, rice, chocolate flavoured, fortified","10 samples, 5 products, including Coco Pops and own brand",AI,"LGC, Nutrient survey of breakfast cereals, 2004; and industry data, 2013",3.3,4.6,2.3,89.6,375,1597,51.9,37.7,0.5,NULL,0.4,36.9,0.01,0.0,0.0,1.5,2.0,1.20,0.68,0.27,0.01,0.1,320,146,456,41,141,11.00,0.24,2.6,500,0.86,2,0.01,0.01,0.01,4.6,NULL,NULL,1.10,1.40,15.2,1.2,1.50,1.9,180,6.00,NULL,0
11-750,"Breakfast cereal, rice, toasted/crisp, fortified","13 samples, 6 products, including Rice Krispies and own brand",AI,"LGC, Nutrient survey of breakfast cereals, 2004; and industry data, 2013",3.3,5.7,1.0,91.2,374,1593,78.8,12.4,0.3,NULL,0.5,11.6,0.01,0.0,NULL,0.9,0.7,0.22,0.24,0.31,0.01,0.0,370,146,9,41,141,11.00,0.24,2.6,540,0.86,2,0.01,0,0,4.6,0.16,NULL,1.10,1.40,15.3,1.6,1.50,1.8,180,NULL,2.0,0
11-754,"Breakfast cereal, Ricicles, Kellogg's","6 samples, 1 product",AI,Nutrient survey of breakfast cereals 2004,3.3,3.8,0.4,95.4,377,1606,54.2,39.1,0.1,NULL,0.2,38.8,0.01,0.0,0.0,0.7,0.3,0.09,0.10,0.16,0.01,0.0,460,NULL,NULL,NULL,NULL,7.90,NULL,NULL,NULL,NULL,NULL,NULL,0,0,4.2,NULL,NULL,1.20,1.30,15.0,NULL,1.70,0.9,177,NULL,NULL,0
11-777,"Breakfast cereal, shredded wheat type with fruit, unfortified","6 samples, 3 products, including Raisin Wheats and own brand apricot wheats",AI,"LGC, Nutrient survey of breakfast cereals, 2004; and industry data, 2013",9.9,8.4,1.7,74.0,326,1389,55.3,18.7,4.7,NULL,6.0,8.0,0.0,0.0,0.0,7.8,8.8,0.25,0.16,0.83,0.01,0.0,21,388,34,61,195,3.50,0.39,1.2,105,1.46,14,NULL,0,30,0.1,0.71,NULL,0.30,0.28,5.4,1.9,0.74,0.0,112,0.60,3.0,0.01
11-775,"Breakfast cereal, shredded wheat type, unfortified","10 samples, 4 products, including Shredded Wheat and bitesize and own brand",AI,"LGC, Nutrient survey of breakfast cereals, 2004",5.8,10.9,2.5,71.2,333,1417,70.6,0.6,0.01,NULL,0.01,0.6,0.0,0.0,0.0,10.5,12.2,0.34,0.25,1.18,0.01,0.0,4,340,39,86,271,2.80,0.50,1.8,105,2.19,14,0.01,0,0,0.0,0.57,NULL,0.15,0.04,5.2,2.7,0.18,0.0,27,0.70,7.0,0
11-778,"Breakfast cereal, Shredded Wheat, honey nut, Nestle","6 samples, 1 product",AI,"LGC, Nutrient survey of breakfast cereals, 2004",4.8,9.8,5.4,72.8,361,1531,53.3,19.6,0.6,NULL,0.9,18.1,0.0,0.0,0.0,7.2,9.2,1.83,1.90,1.47,0.01,0.0,7,312,35,73,221,2.30,0.38,1.6,60,1.75,8,0.01,0,0,0.0,0.70,NULL,NULL,NULL,NULL,NULL,NULL,0.0,NULL,NULL,NULL,0
11-762,"Breakfast cereal, wheat and multigrain, chocolate flavoured, fortified","10 samples, 4 products, including Weetos, Nesquick, Coco Shreddies and own brands",AI,"LGC, Nutrient survey of breakfast cereals, 2004; and industry data, 2013",3.3,6.5,4.1,83.2,375,1594,52.7,30.5,0.2,NULL,0.1,30.0,0.01,0.2,0.0,5.8,6.3,1.37,1.64,0.94,0.03,0.2,180,355,NULL,52,143,10.70,0.35,1.0,280,0.90,3,2,0.01,0.01,NULL,0.79,NULL,1.00,1.20,13.6,1.2,1.40,1.4,171,NULL,NULL,NULL
11-773,"Breakfast cereal, wheat biscuits, Weetabix type, fortified","10 samples, 6 products, including Weetabix and own brands",AI,"LGC, Nutrient survey of breakfast cereals, 2004; and industry data, 2013",6.0,10.5,1.9,72.7,332,1412,68.8,3.9,0.7,NULL,0.9,1.9,0.4,0.0,0.0,7.3,9.7,0.26,0.18,0.93,0.01,0.0,260,397,30,83,259,11.90,0.39,1.7,479,1.82,5,0.01,0,0,0.0,1.45,1.50,1.00,1.20,14.0,2.2,0.22,0.0,170,0.80,6.0,0
11-774,"Breakfast cereal, wheat biscuits, Weetabix type, unfortified","6 samples, 3 products, organic and value products",AI,Nutrient survey of breakfast cereals 2004,6.0,10.5,1.9,72.7,332,1412,68.8,3.9,0.7,NULL,0.9,1.9,0.4,0.0,0.0,7.3,9.7,0.26,0.18,0.93,0.01,0.0,278,415,36,107,310,3.45,0.38,2.3,512,2.83,5,0.01,0,0,0.0,1.45,NULL,0.01,0.06,6.4,2.6,0.26,0.0,36,0.80,8.0,0
16-006,"Bream, Sea, raw",Literature sources,JA,"Fish and Fish Products Supplement, 1993",77.7,17.5,2.9,0.0,96,405,0.0,0.0,0.0,NULL,0.0,0.0,0.0,0.0,NULL,0.0,NULL,NULL,NULL,NULL,NULL,38.0,110,270,40,23,230,0.50,0.05,0.3,120,0.04,NULL,NULL,NULL,0.01,NULL,NULL,NULL,0.08,0.10,5.4,3.3,0.46,2.0,NULL,0.21,NULL,0.01
15-700,"Broccoli in cheese sauce, made with semi-skimmed milk, homemade",Recipe from review of recipe collection,DR,Updated 2014,76.3,7.3,7.5,5.9,118,493,2.5,3.0,0.4,NULL,0.7,0.01,0.0,1.8,NULL,1.6,2.7,4.52,1.90,0.37,0.28,19.7,130,316,169,22,151,0.74,0.06,1.1,238,0.19,2,17,77,390,0.1,1.18,NULL,0.09,0.19,0.5,1.7,0.10,0.6,33,0.57,3.7,25
15-701,"Broccoli in cheese sauce, made with skimmed milk, homemade",Recipe from review of recipe collection,DR,Updated 2014,77.0,7.3,6.9,5.9,114,475,2.5,3.0,0.4,NULL,0.7,0.01,0.0,1.8,NULL,1.6,2.5,4.18,1.77,0.37,0.25,18.9,130,318,170,22,151,0.75,0.05,1.1,237,0.19,2,17,70,387,0.1,1.17,NULL,0.09,0.18,0.5,1.7,0.10,0.6,33,0.51,3.9,24
15-702,"Broccoli in cheese sauce, made with whole milk, homemade",Recipe from review of recipe collection,DR,Updated 2014,75.8,7.3,8.2,5.8,124,521,2.5,2.9,0.4,NULL,0.7,0.01,0.0,1.7,NULL,1.6,2.5,5.00,2.12,0.40,0.30,22.0,129,316,168,22,151,0.74,0.06,1.1,239,0.19,2,18,84,392,0.1,1.19,NULL,0.09,0.19,0.5,1.7,0.10,0.6,34,0.43,2.8,24
13-583,"Broccoli, green, boiled in salted water","22 samples, autumn and winter, UK grown and imported, pre-packed and loose",DG,"DH, Nutrient analysis of fresh and processed fruit and vegetables, 2013",90.8,3.3,0.5,2.8,28,120,0.7,1.6,0.8,0.01,0.8,0.01,0.0,0.0,0.0,2.3,2.8,0.12,0.05,0.20,0.01,0.0,150,212,35,14,59,0.60,0.05,0.4,180,0.20,1,2,0,598,0.0,1.67,135.00,0.04,0.06,0.5,0.9,0.11,0.0,34,0.28,3.5,44
